"","id","guild","sci_name","species","pop","bootstrap","time_index","left_time_boundary","time","right_time_boundary","lambda","Ne"
"215","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",14,163512.5,202195.625,240878.75,1923.96,0.649701656999106
"216","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",15,240878.75,297782.5,354686.25,1728.96,0.722977975198964
"217","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",16,354686.25,438393.125,522100,1472.72,0.848769623553697
"218","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",17,522100,645233.75,768367.5,1372.59,0.910687095199586
"219","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",18,768367.5,949500,1130632.5,2017.55,0.619563331763773
"220","CLK_IDN.19","Generalist","Amphiprion clarkii","CLK","IDN","19",19,1130632.5,1130632.5,Inf,2017.55,0.619563331763773
"223","CLK_IDN.2","Generalist","Amphiprion clarkii","CLK","IDN","2",2,850.96625,1223.564375,1596.1625,297.84,4.19688423314531
"224","CLK_IDN.2","Generalist","Amphiprion clarkii","CLK","IDN","2",3,1596.1625,2144.26875,2692.375,1321.32,0.946023673296401
"225","CLK_IDN.2","Generalist","Amphiprion clarkii","CLK","IDN","2",4,2692.375,3498.64375,4304.9125,582.036,2.14763347971603
"226","CLK_IDN.2","Generalist","Amphiprion clarkii","CLK","IDN","2",5,4304.9125,5490.95625,6677,312.996,3.99366126084678
"227","CLK_IDN.2","Generalist","Amphiprion clarkii","CLK","IDN","2",6,6677,8421.69375,10166.3875,939.077,1.33109425531666
"228","CLK_IDN.2","Generalist","Amphiprion clarkii","CLK","IDN","2",7,10166.3875,12732.88125,15299.375,294.04,4.25112229628622
"229","CLK_IDN.2","Generalist","Amphiprion clarkii","CLK","IDN","2",8,15299.375,19074.6875,22850,311.879,4.00796462730739
