"","id","guild","sci_name","species","pop","bootstrap","time_index","left_time_boundary","time","right_time_boundary","lambda","Ne"
"169","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",8,8855.4125,11040.64375,13225.875,1602.94,0.779817086104283
"170","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",9,13225.875,16440.3125,19654.75,1943.71,0.643100050933524
"171","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",10,19654.75,24383.3125,29111.875,2330.2,0.536434640803365
"172","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",11,29111.875,36067.75,43023.625,2600.54,0.480669399432426
"173","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",12,43023.625,53255.75,63487.875,2572.41,0.485925649488223
"174","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",13,63487.875,78539.625,93591.375,2146.68,0.582294519909814
"175","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",14,93591.375,115732.5625,137873.75,1579.39,0.791444798308208
"176","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",15,137873.75,170444.375,203015,1104.25,1.13199003848766
"177","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",16,203015,250926.875,298838.75,814.174,1.53529835145804
"178","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",17,298838.75,369318.125,439797.5,811.227,1.54087573515181
"179","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",18,439797.5,543473.75,647150,213.709,5.84907514423819
"180","AKA_IDN.b8","RM specialist","Amphiprion akallopisos","AKA","IDN","b8",19,647150,647150,Inf,213.709,5.84907514423819
"181","AKA_IDN.b9","RM specialist","Amphiprion akallopisos","AKA","IDN","b9",0,0,99.665,199.33,1090.73,1.1460214718583
"182","AKA_IDN.b9","RM specialist","Amphiprion akallopisos","AKA","IDN","b9",1,199.33,345.93875,492.5475,1090.73,1.1460214718583
"183","AKA_IDN.b9","RM specialist","Amphiprion akallopisos","AKA","IDN","b9",2,492.5475,708.2125,923.8775,6126.16,0.204042989409353
"184","AKA_IDN.b9","RM specialist","Amphiprion akallopisos","AKA","IDN","b9",3,923.8775,1241.12625,1558.375,2042.34,0.612043048659871
"185","AKA_IDN.b9","RM specialist","Amphiprion akallopisos","AKA","IDN","b9",4,1558.375,2025.05,2491.725,1778.69,0.702764394020318
"186","AKA_IDN.b9","RM specialist","Amphiprion akallopisos","AKA","IDN","b9",5,2491.725,3178.21875,3864.7125,1632.02,0.765921986250168
"187","AKA_IDN.b9","RM specialist","Amphiprion akallopisos","AKA","IDN","b9",6,3864.7125,4874.55625,5884.4,1533.04,0.815373375776235
